,Vendedor,Fecha,Modelo,Cantidad,Precio Unitario,Descuento,Subtotal,I.V.A,Total
7,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
24,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
41,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
58,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
75,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
92,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
109,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
126,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
143,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
160,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
177,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
194,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
211,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
228,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
245,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
262,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
279,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
296,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
313,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
330,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
347,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
364,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
381,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
398,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
415,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
432,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
449,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
466,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
483,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
500,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
517,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
534,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
551,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
568,Jose,25/08/2006,Deportivo,2,1368900,,2340,538.2,2878.2
