,Vendedor,Fecha,Modelo,Cantidad,Precio Unitario,Descuento,Subtotal,I.V.A,Total
2,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
19,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
36,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
53,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
70,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
87,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
104,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
121,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
138,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
155,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
172,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
189,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
206,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
223,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
240,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
257,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
274,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
291,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
308,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
325,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
342,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
359,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
376,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
393,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
410,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
427,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
444,Pedro,18/07/2006,Sandalia,2,122500,35.0,630,144.9,774.9
