,Vendedor,Fecha,Modelo,Cantidad,Precio Unitario,Descuento,Subtotal,I.V.A,Total
16,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
33,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
50,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
67,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
84,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
101,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
118,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
135,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
152,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
169,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
186,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
203,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
220,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
237,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
254,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
271,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
288,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
305,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
322,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
339,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
356,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
373,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
390,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
407,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
424,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
441,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
458,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
475,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
492,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
509,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
526,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
543,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
560,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
577,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
594,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
611,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
628,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
645,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
662,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
679,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
696,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
713,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
730,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
747,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
764,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
781,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
798,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
815,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
832,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
849,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
866,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
883,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
900,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
917,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
934,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
951,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
968,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
985,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1002,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1019,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1036,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1053,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1070,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1087,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1104,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1121,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1138,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1155,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1172,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1189,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1206,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1223,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1240,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1257,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1274,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1291,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1308,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1325,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1342,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1375,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1392,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1409,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1426,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1443,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1460,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1477,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1494,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1511,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1528,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1545,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1562,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1579,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1596,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1613,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1630,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1647,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1664,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1681,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1698,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1715,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1732,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1749,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1766,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1783,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1800,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1817,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1834,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1851,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1868,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1885,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1902,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1919,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1936,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1953,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1970,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
1987,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2004,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2021,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2038,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2055,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2072,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2089,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2106,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2123,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2140,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2157,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2174,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2191,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2208,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2225,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2242,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2259,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2276,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2293,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2310,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2327,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2344,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2361,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2378,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2395,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2412,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2429,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2446,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2463,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2480,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2497,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2514,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2531,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2548,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2565,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2582,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2599,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2616,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2633,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2650,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2667,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2684,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2701,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2718,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2735,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2752,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2769,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2786,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2803,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2820,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2837,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2854,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
2871,Pedro,07/08/2006,Zapato,2,1416100,,2380,547.4,2927.4
